artifact_type;deprecated_artifact;header_file;replacement_artifact;deprecated_in;removal_targeted_in
ITK function;RDV_getQPLSchema;rdv/rdv_qpl_api.h;No replacement;2312;2712
ITK function;RELSTAT_ask_date_effectivity;tccore/releasestatus.h;WSOM_eff_ask_date_range;12. Mrz;2712
ITK function;RELSTAT_ask_unit_effectivity;tccore/releasestatus.h;WSOM_eff_ask_unit_range;12. Mrz;2712
ITK function;RELSTAT_set_date_effectivity;tccore/releasestatus.h;WSOM_eff_set_date_range;12. Mrz;2712
ITK function;RELSTAT_set_unit_effectivity;tccore/releasestatus.h;WSOM_eff_set_unit_range;12. Mrz;2712
ITK function;REQ_create_set_contents;req/requirement.h;REQ_create_set_contents2;13. Mrz;2712
ITK function;REQ_create_set_contents2;req/requirement.h;REQ_create_set_contents3;14. Feb;2712
ITK function;REQ_create_set_contents3;req/requirement.h;REQ_create_set_contents4;14. Mrz;2712
ITK function;SCHMGT_copyTaskWithPasteSpecial;schmgt/schmgt_itk.h;SCHMGT_copy_tasks_with_paste_special;11.02.2003;2712
ITK function;SCHMGT_create_proxy_tasks;schmgt/schmgt_itk.h;SCHMGTBRI_create_proxy_tasks;11.02.2003;2712
ITK function;SCHMGT_get_schedule_summary_task;schmgt/schmgt_bridge_itk.h;AOM_ask_value_tag;11. Mrz;2712
ITK function;SERVICEPROCESSING__get_physBOMLine;serviceprocessing/serviceprocessing.h;SERVICEPROCESSING_get_physical_bom_line;11. Feb;2712
ITK function;SERVICEPROCESSING__valphysPartBase;serviceprocessing/serviceprocessing.h;SERVICEPROCESSING_is_child_physical_part;11. Feb;2712
ITK function;SERVICEPROCESSING_doubleToString;serviceprocessing/serviceprocessing.h;SERVICEPROCESSING_double_to_string;11. Feb;2712
ITK function;SERVICEPROCESSING_setReleaseStatus;serviceprocessing/serviceprocessing.h;SERVICEPROCESSING_set_release_status;11. Feb;2712
Macro;SIG_duplicate_association;mechatronics/mechatronics_errors.h;No replacement;11. Jan;2712
Macro;SIG_invalid_frameorsignal;mechatronics/mechatronics_errors.h;No replacement;11. Jan;2712
Macro;SIG_invalid_source;mechatronics/mechatronics_errors.h;No replacement;11. Jan;2712
Macro;SIG_invalid_target;mechatronics/mechatronics_errors.h;No replacement;11. Jan;2712
Macro;SIG_sig_has_a_pv;mechatronics/mechatronics_errors.h;No replacement;11. Jan;2712
Macro;SIS0_internal_error_posting_to_slack;sis0socialint/sis0socialint_errors.h;SIS0_internal_error_posting_to_slack;12. Feb;2712
Macro;SIS0_undefined_slack_channel;sis0socialint/sis0socialint_errors.h;SIS0_undefined_channel;12. Feb;2712
Macro;SIS0_undefined_slack_workspace_id;sis0socialint/sis0socialint_errors.h;SIS0_undefined_id;12. Feb;2712
