aw_release;category;area;topic;feature
2512;Deliver;Manufacturing;MBOM Management;Roll-up Indications for Partitions
2512;Deliver;Manufacturing;MBOM Management;Smart discovery-based Filter for EBOM-MBOM​
2512;Deliver;Manufacturing;MBOM Management;New type for Collaborative MBOM
2512;Deliver;Manufacturing;MBOM Management;Support for Active change and Scoped accountability check
2512;Deliver;Manufacturing;MBOM Management;Create Manufacturing Representation from BOM Alignment page
2512;Deliver;Manufacturing;Process Planning;Improve time study authoring efficiency
2512;Deliver;Manufacturing;Process Planning;Increase time study authoring capabilities
2512;Deliver;Manufacturing;Process Planning;Block user actions that violate the precedence constraints
2512;Deliver;Manufacturing;Process Planning;Allow detailed planning for a work package that has no product
2512;Deliver;Manufacturing;Process Planning;Improve the usability of the Set Variant Formula
2512;Deliver;Manufacturing;Process Planning;Empower administrators and users to organize studies and control access via project membership
2512;Deliver;Manufacturing;Process Planning;Improve study management productivity by enabling to classify studies per category and status 
2512;Deliver;Manufacturing;Process Planning;Boost team collaboration in Easy Plan with manufacturing check out 
2512;Deliver;Manufacturing;Process Planning;Perform merge study scenes directly in Process Simulate for faster, more comprehensive engineering workflows
2512;Deliver;Manufacturing;Process Planning;Quickly find specific information in the BOP with advanced search capabilities
2512;Deliver;Manufacturing;Process Planning;Gain full visibility of Manufacturing Sequence across all hierarchy levels of the process plan
2512;Deliver;Manufacturing;Process Planning;Enhanced change traceability of BOP Operations for specific scenarios by downstream systems
2512;Deliver;Manufacturing;Process Planning;Improve flexibility by supporting varied MBOM scenarios during high-level BOP setup
2512;Deliver;Manufacturing;Process Planning;Quickly generate PFMEA from BOP from within the Easy Plan UI and open in Active Workspace for further detailing
2512;Deliver;Manufacturing;Process Planning;Quickly identify and assign relevant Inspection Definitions to the BOP
2512;Deliver;Manufacturing;Process Planning;Quickly identify BOP operations that have Inspection Definitions with changes
2512;Deliver;Manufacturing;Process Planning;Quickly configure columns to be shown for the tree tables in the Planning pages
2512;Deliver;Manufacturing;Process Planning;Easy Plan empowers efficient, accurate process planning for composite manufacturing
2512;Deliver;Manufacturing;Process Planning;Transform complex BOM and BOP structures into intuitively navigable insights
2512;Deliver;Manufacturing;Process Planning;Granular MBOM visibility on planning pages for streamlined navigation and focused exploration
2512;Deliver;Manufacturing;Process Planning;Consistent, accessible PMI, despite decoupled DBOM/EBOM
2512;Deliver;Manufacturing;Process Planning;Direct RBOP-to-AR WI generation ensures accurate, efficient work instructions
2512;Deliver;Manufacturing;Process Planning;To enable the definition, management, and utilization of parameters within Easy Plan, ensuring consistent and dynamic data usage across industries like semi conductors & battery industry.
2512;Deliver;Manufacturing;Process Planning;Enable seamless access, viewing, and execution of Electronic Work Instructions (EWI) in offline mode, ensuring uninterrupted operations in environments with limited or no network connectivityEnable seamless access, viewing, and execution of Electronic  ork Instructions (EWI) in offline mode, ensuring uninterrupted operations in environments with limited or no network connectivity
2512;Deliver;Manufacturing;Process Planning;Facilitates the creation and management of part planning data within Easy Plan, ensuring a seamless link between product structures and manufacturing processes for accurate and efficient production planning
2512;Deliver;Manufacturing;Process Planning;Facilitates complete migration of TWI and STX content from RAC to Easy Plan, ensuring all text, images, symbols, formatting, and colors are successfully transferred to maintain content fidelity
2512;Deliver;Service;Service Planning;Service applicability of Requirement​
2512;Deliver;Service;Service Planning;Hide Legacy Notices tab using preference​
2512;Deliver;Service;Service BOM;Display spares tab in SBOM secondary work area
2512;Deliver;Service;Service BOM;Configure SBOM and Service plan independently in Service plan view
2512;Deliver;Service;Product Support Data Management​;Generate LSA-09 (Support Item List) for provisioning
2512;Deliver;Service;Product Support Data Management​;Enable alphanumeric LCNs and LCN sequence gaps
2512;Deliver;Service;Product Support Data Management​;Migrate SNS from content management to TC core
2512;Deliver;Service;Product Support Data Management​;Generate LSA-36 (Provisioning Requirements Summary) for conference review and repair parts identification for new equipment
2512;Deliver;Service;Product Support Data Management​;Generate LSA-56 (FMECA Summary) to identify system failure effects
2512;Deliver;Service;Product Support Data Management​;Generate LSA-19 (Task Analysis Summary) for analysis and data development
2512;Deliver;Service;Service Asset Management​;Reassignment of discrepancy with first reported target ​
2512;Deliver;Service;Service Planning;Leverage AI to generate Service Plans from service documents
2512;Deliver;Service;Teamcenter SLM for Salesforce;Seamless transfer of Product configurator data from Teamcenter to Salesforce
2512;Deliver;Service;Teamcenter SLM for Salesforce;Quote Creation in Salesforce RLM Powered by Teamcenter Product Configurator
2512;Deliver;Service;Teamcenter SLM for Salesforce;Dynamic Quote updates on Feature selection changes
2512;Deliver;Service;Teamcenter SLM for Salesforce;Service Lifecycle Management (SLM) now available on Teamcenter X v2512
2512;Deliver;Service;Teamcenter SLM for Salesforce;Seamless transfer of Product configurator data from Teamcenter to Salesforce
2512;Deliver;Service;Teamcenter SLM for Salesforce;Quote Creation in Salesforce RLM Powered by Teamcenter Product Configurator
2512;Deliver;Service;Teamcenter SLM for Salesforce;Dynamic Quote updates on Feature selection changes
2512;Deliver;Service;Teamcenter SLM for Salesforce;Service Lifecycle Management (SLM) now available on Teamcenter X v2506
2512;Deliver;Service;Service Planning;Define specific applicability to service requirement to enhance accuracy and precision
2512;Deliver;Service;Service Planning;Introducing the Legacy Notices Tab Visibility Preference
2512;Deliver;Service;Service Planning;Unlocking Efficiency: SBOM-Driven Spares in Service Plan Views
2512;Deliver;Service;Service BOM;Configure SBOM and Service plan independently
2512;Deliver;Service;Service Asset Management​;Specify the First reported target of service Discrepancy
2512;Deliver;Service;Product Support Data Management​;Generate LSA-09 Report: List support items needed for the provisioning process
2512;Deliver;Service;Product Support Data Management​;Generate LSA-36 Report: Provide a summary of provisioning requirements for conference review and aid in selecting repair parts for equipment fielding
2512;Deliver;Service;Product Support Data Management​;Generate LSA-56 Report: Summarize the Failure Mode, Effects, and Criticality Analysis (FMECA) to identify potential system failure impacts
2512;Deliver;Service;Product Support Data Management​;Generate LSA-19 Report: Provide a Task Analysis Summary for analysis and data development
2512;Deliver;Service;Product Support Data Management​;Enable alphanumeric LCNs and identify LCN sequence gaps
2512;Deliver;Service;Product Support Data Management​;Move SNS to the TC core from content management
2512;Deliver;Suppliers;Supplier Collaboration - Partner Connect;Stay connected with suppliers using Teamcenter Discussions​
2512;Deliver;Suppliers;Asset Administration Shell Collaboration;Effortlessly collaborate with suppliers on standardized, interoperable digital twin data enabled by the Asset Administration Shell
2512;Deliver;Suppliers;Asset Administration Shell Collaboration;Easily search and locate standard parts published in Asset Administration Shell (AAS) format by suppliers that meets your product requirements​
2512;Deliver;Suppliers;Asset Administration Shell Collaboration;Seamlessly import and convert AAS submodels into Teamcenter parts for use in your product designs
2512;Deliver;Suppliers;Asset Administration Shell Collaboration;Export Teamcenter product data in Industrial Digital Twin Association (IDTA) standard AAS format
2512;Deliver;Suppliers;Asset Administration Shell Collaboration;Get notified when AAS you already use have gone through a change and choose to import updates
2512;Deliver;Sustainability;Environmental Compliance and Product Sustainability;Manage sustainability targets and calculate and report environmental impacts for part, assembly or product​
2512;Deliver;Sustainability;Environmental Compliance and Product Sustainability;Manage declarations more effectively with filtering and sorting based on compliance information
2512;Deliver;Sustainability;Environmental Compliance and Product Sustainability;Categorize material declarations in bulk​
2512;Deliver;Sustainability;Environmental Compliance and Product Sustainability;Configure who can view and modify material composition
2512;Develop;Documents;Document Management;Manage emails in the context of product information in Active Workspace
2512;Develop;Documents;Document Management;Define periodic review schedule and role for documents
2512;Develop;Documents;Document Management;Create items and view properties faster with focused panels in Office Client 
2512;Develop;Documents;Document Management;Change your role or group instantly without restarting the Microsoft Office application
2512;Develop;Visualization;Visualization - Usability;Use the reorganized toolbar to access grouped and reordered features that better reflect common usage patterns​
2512;Develop;Visualization;Visualization - Usability;Create custom Color Schemes to provide background coloring, selection colors and lighting combinations that match user preferences
2512;Develop;Visualization;Visualization - BOM Integration;Deploy Visualization with no VisServers, lowering costs, increasing scalability, and improving user satisfaction & productivity
2512;Develop;Visualization;Visualization - BOM Integration;Use Massive Model Visualization for client-side rendering to view all sizes of product data quickly and smoothly
2512;Develop;Visualization;DMU for Manufacturing;Create & View Product Views (PVs) of Electronic Work Instructions (EWIs) in Active Workspace Easy Plan 3D Viewer
2512;Develop;Visualization;DMU for Part Design;View JT files containing CAE information in the Part Viewer
2512;Develop;Visualization;DMU for Part Design;Control the visibility of part information at a granular level to support a broad range of use cases (BETA)​
2512;Develop;Visualization;Digital Threads;Integrate Snapshot component into customized pages like the dashboard to provide key visual information quickly
2512;Foundation;Industry Solutions;Industries - Battery Lifecycle Management;Get up and running faster with a pre-configured template for battery manufacturers
2512;Foundation;Industry Solutions;Industries - CPR - CPG;Accelerate generation of claims and declarations for consumer product goods
2512;Foundation;Industry Solutions;Industries - CPR - CPG;Efficiently estimate resource needs and effort for strategic roadmap planning
2512;Foundation;Industry Solutions;Industries - CPR - CPG;Effectively estimate volumes for formulated products
2512;Foundation;Industry Solutions;Industries - CPR - CPG;Efficiently manage vendors and vendor parts for formulation product development
2512;Foundation;Industry Solutions;Industries - CPR - CPG;Simplify and automate mass rollup of substances in a formula BOM
2512;Foundation;Industry Solutions;Industries - Semiconductor Lifecycle Management;Streamline post-tapeout process for better efficiency and control
2512;Foundation;Industry Solutions;Industries - Semiconductor Lifecycle Management;Enhance semiconductor design accuracy and efficiency with improved technology design kit management
2512;Foundation;Usability;Platform - Active Workspace Framework - Usability;Increase your productivity with a dashboard-style home page and personalizable navigation links 
2512;Foundation;Usability;Platform - Active Workspace Framework - Usability;Improve the usability, clarity and readability of details views​
2512;Foundation;Usability;Platform - Active Workspace Framework - Usability;Effortlessly copy and paste text in tables for a spreadsheet like experience
2512;Foundation;Usability;Platform - Active Workspace Framework - Usability;Easily interact with open objects using new relations tree, frequently used commands and streamlined tabs
2512;Foundation;Usability;Platform - Active Workspace Framework - Extensibility;Hide, show, and reorder EasyPlan tabs
2512;Foundation;Usability;Platform - Active Workspace Framework - Extensibility;Leverage React 18.3 in Siemens Web Framework and Active Workspace
2512;Foundation;Usability;Collaboration;Communicate with suppliers and colleagues across sites with discussions
2512;Foundation;Usability;Collaboration;Query your workflow tasks through natural language search from Microsoft Teams
2512;Foundation;Usability;Collaboration;Get intelligent answers fast with Microsoft 365 Copilot insight from Teamcenter
2512;Foundation;Usability;Platform - Active Workspace Framework - Usability;Ensure comprehensive accessibility across Active Workspace by achieving Web Content Accessibility Guidelines (WCAG) 2.1 Level AA compliance
2512;Plan;Bill of Materials;Design BOM Alignment;Create and manage weld, fastener and connections
"information with aligned EBOM""";;;;
2512;Plan;Bill of Materials;Design BOM Alignment;Configure design based on occurrence alignments for multi representation vendor part
2512;Plan;Bill of Materials;Design BOM Alignment;Manage color themes in a user-friendly interface and automate creation of color parts and assemblies
2512;Plan;Bill of Materials;Design BOM Alignment;Simplify initial alignment of parts imported from an external
"system with automation """;;;;
2512;Plan;Bill of Materials;Design BOM Alignment;Split selected EBOM part occurrence based on quantity or variant criteria 
2512;Plan;Bill of Materials;Design BOM Alignment;Easily identify alignments in different contexts with new indicator
2512;Plan;Bill of Materials;Design BOM Alignment;Simplify the maintenance of an aligned EBOM by splitting part
"usage based on multiple criteria""";;;;
2512;Plan;Bill of Materials;Design BOM Alignment;Author and manage symmetrical parts and their alignments in
"the engineering BOM""";;;;
2512;Plan;Bill of Materials;Smart Discovery;Operate your Smart Discovery Indexing processes as a service
2512;Plan;Bill of Materials;Smart Discovery;Administer your Smart Discovery Index using Active Workspace
2512;Plan;Bill of Materials;Smart Discovery;Reduce the amount of structure being Indexed for Smart Discovery
2512;Plan;Bill of Materials;Smart Discovery;Investigate your Smart Discovery issues with Reactive Logging
2512;Plan;Bill of Materials;Smart Discovery;Filter your structure while in Split View​
2512;Plan;Bill of Materials;Smart Discovery;Use BOM CoPilot to perform additional BOM actions and leverage AI reasoning
2512;Plan;Bill of Materials;Structure Management;Capture the configuration state of a product structure and its related data as a baseline
2512;Plan;Bill of Materials;Structure Management;Create and update all categories of solution variants with an integrated user experience
2512;Plan;Bill of Materials;Structure Management;Develop BOM based applications within Mendix​
2512;Plan;Bill of Materials;Structure Management;Bulk apply configuration parameters​
2512;Plan;Bill of Materials;Structure Management;Provide toggle for connections and GDEs in structure
2512;Plan;Bill of Materials;Structure Management;Include top level in compare results
2512;Plan;Configuration;Product Configuration;Use 'intent' to filter and solve domain-specific configurations like sales, engineering, and manufacturing
2512;Plan;Configuration;Product Configuration;Experience fast product configurator response on most frequently used selections
2512;Plan;Configuration;Product Configuration;Show product specific feature properties from the allocation in variant condition editor and features view
2512;Plan;Configuration;Product Configuration;Set up external web service-based calculations for Product Configurator in Active Workspace
2512;Plan;Configuration;Product Configuration;View and create Teamcenter configurations embedded in Salesforce or other sales applications
2512;Plan;Process;Change Management;Easily view solution item redlines using indicators and edit properties from the summary view
2512;Plan;Process;Workflow;Configure rules based on property values and conditions to dynamically assign users to workflow tasks​
2512;Plan;Process;Workflow;See a complete and detailed workflow process history for accountability and audit compliance 
2512;Plan;Requirements;Requirements Management;View your overall requirement status with a refreshed dashboard view
2512;Plan;Requirements;Requirements Management;Leverage AI to evaluate requirement quality and identify new or modified parameters
2512;Plan;Systems;MBSE - System Architecture, Functional & Systems Modeling;Trace, allocate and satisfy requirements in Systems Modeler for SysML v2 
2512;Plan;Systems;MBSE - System Architecture, Functional & Systems Modeling;Connect Systems Modeler for SysML v2 with Teamcenter X for fast and secured collaboration
2512;Plan;Systems;MBSE - System Architecture, Functional & Systems Modeling;Perform collaborative modeling in Cameo with Teamcenter branching and versioning
2512;Plan;Systems;MBSE - System Verification and Parameter Management;View the digital thread with improved object and relation graphics
2512;Plan;Systems;MBSE - System Verification and Parameter Management;Easily navigate structured and unstructured data using streamlined graphics and simplified orientations
2512;Plan;Systems;MBSE - Verification Planning and Execution;Update your BOM revisions on demand within the VerificationRequest
2512;Plan;Systems;MBSE - Verification Planning and Execution;Enrich your verification and parameter experience with dedicated reports, transitions and status rollups
2606;Deliver;Analytics;Classification;See suggested values when defining classifications
2606;Deliver;Analytics;Classification;Display filter properties based on selected classification class
2606;Deliver;Analytics;Search and Analytics - Reporting and Analytics;Provide dashboard access to reporting information mapped to your 3D data
2606;Deliver;Analytics;Search and Analytics - Reporting and Analytics;Analyze product lifecycle data from Teamcenter in Power BI
2606;Deliver;Analytics;Search and Analytics - Search - AI;Unlock key insights from semantic metadata properties with Teamcenter Copilot
2606;Deliver;Analytics;Search and Analytics - Search;Build and execute advanced power queries
2606;Deliver;Manufacturing;Enterprise Recipe Management;Enabled flexible layout positioning in Pert for easier layout
2606;Deliver;Manufacturing;Enterprise Recipe Management;Added new Enterprise Recipe Management flow supporting conditional logic
2606;Deliver;Manufacturing;Enterprise Recipe Management;Simplified Classification parameter selection for display on ERM Canvas
2606;Deliver;Manufacturing;Enterprise Recipe Management;Support DCD and TC Parameter for Recipe Transform and Clone
2606;Deliver;Manufacturing;Enterprise Recipe Management;Support  Lab recipe creation
2606;Deliver;Manufacturing;MBOM Author;Update All Partial Mismatches in MBOM
2606;Deliver;Manufacturing;MBOM Author;Align the Revise Panel with Active Workspace for a unified user experience
2606;Deliver;Manufacturing;MBOM Author;Introduce a release status indicator column in BOM Alignment​
2606;Deliver;Manufacturing;MBOM Author;Enhance the CBA 2.0 to CBA 3.0 migration tool to ensure a smoother and  efficient migration process
2606;Deliver;Manufacturing;MBOM Author;Support multiple type mappings for MBOM Mirror on Assembly MBOM​
2606;Deliver;Manufacturing;MBOM Author;New Workflow to recursively resolve BOM recipes
2606;Deliver;Manufacturing;MBOM Author;"""Reuse"" Solution Variant support in MBOM​"
2606;Deliver;Manufacturing;MBOM Author;Store Accountability Check results for EBOM and MBOM​
2606;Deliver;Manufacturing;MBOM Author;Ability to assign Mini Context MBOM for the corresponding selected Mini Context EBOM
2606;Deliver;Manufacturing;Manufacturing Features;Show Connected To column OOTB in BOM Alignment page
2606;Deliver;Manufacturing;Manufacturing Features;Enable support for populating Feature Containers in the BOM Alignment page
2606;Deliver;Manufacturing;Manufacturing Features;Provide support for importing Manufacturing Features in the BOM Alignment page
2606;Deliver;Manufacturing;Process Planning;"""Ignore"" changes that do not need to be propagated in the ""MCN Compare"" mode."
2606;Deliver;Manufacturing;Process Planning;Assign the same operation to different PRs in Line Balancing
2606;Deliver;Manufacturing;Process Planning;Common UI/UX for the Add panel across all pages
2606;Deliver;Manufacturing;Process Planning;Configure by Selection
2606;Deliver;Manufacturing;Process Planning;Consider Split Variant Formula When Accounting Product BOP and Plant BOP
2606;Deliver;Manufacturing;Process Planning;"Consider Variant Formula ""OR"" during operation allocation"
2606;Deliver;Manufacturing;Process Planning;Convert Model Views tab for process
2606;Deliver;Manufacturing;Process Planning;Display impacted Operations only containing the specific occurrence of a part that has been changed and tracked in the MCN
2606;Deliver;Manufacturing;Process Planning;Filter through information in columns
2606;Deliver;Manufacturing;Process Planning;Hierarchical Takt Time Roll-Down
2606;Deliver;Manufacturing;Process Planning;MCN tracking of newly created ME Activities under an Operation
2606;Deliver;Manufacturing;Process Planning;Mini-context support extended to also consider the  EBOM
2606;Deliver;Manufacturing;Process Planning;Reference Operations and Processes in Classic BOP
2606;Deliver;Manufacturing;Process Planning;Support Applying Custom Variant Rule on the EBOM in BOM Alignment​
2606;Deliver;Manufacturing;Process Planning;Support operation creation in Line Balancing
2606;Deliver;Manufacturing;Process Planning;Twin Sync Advanced - View details of changes, Execute Sync as per user selection, Reinstate removed twin objects
2606;Deliver;Manufacturing;Process Planning;Workflow Panel Standardization
2606;Deliver;Manufacturing;Process Planning;Set Project(s) recursively to multiple BOP lines​​
2606;Deliver;Manufacturing;Process Planning;Expand and collapse BOP lines
2606;Deliver;Manufacturing;Easy Plan Visualization;3D Markup text: include TC properties
2606;Deliver;Manufacturing;Easy Plan Visualization;Assembly PMIs 3D data
2606;Deliver;Manufacturing;Easy Plan Visualization;EWI: secondary viewer for parts and tools
2606;Deliver;Manufacturing;Easy Plan Visualization;Find in BOP: From 3D Viewer
2606;Deliver;Manufacturing;Easy Plan Visualization;Load Product Views
2606;Deliver;Manufacturing;Process Planning - AI;Speed up manufacturing planning with conversational commands instead of manual data entry and steps
2606;Deliver;Manufacturing;Process Planning - AI;Author manufacturing plans using conversational input and detailed specifications for faster, more accurate plan creation
2606;Deliver;Manufacturing;Process Planning - AI;Ensure safe and controlled plan updates by reviewing and modifying data only within your current Easy Plan scope
2606;Deliver;Manufacturing;Work Instructions;Data Collection in Standard Text
2606;Deliver;Manufacturing;Work Instructions;Offline Electronic Work instructions
2606;Deliver;Manufacturing;Work Instructions;Planner Inputs in Text Elements
2606;Deliver;Manufacturing;Process Planning;Clone isolated studies to explore diverse simulation strategies
2606;Deliver;Manufacturing;Process Planning;Clone time studies to explore diverse manufacturing strategies
2606;Deliver;Manufacturing;Process Planning;View only the details you need with expand and collapse controls for every BOP page
2606;Deliver;Manufacturing;Process Planning;Streamline project assignment across your entire process structure with full control over scope and revisions
2606;Deliver;Manufacturing;Simulation and Test Management;In-app integration of Teamcenter Simulation for PHM MADE
2606;Deliver;Manufacturing;Simulation and Test Management;Study configuration in Teamcenter Simulation
2606;Deliver;Manufacturing;Simulation and Test Management;Refined relations view for intuitive navigation of relationships and dependencies
2606;Deliver;Manufacturing;Simulation and Test Management;Dedicated overview for system simulation data
2606;Deliver;Manufacturing;Simulation and Test Management;Enhanced tool launch history
2606;Deliver;Quality;Quality Management - AI;Teamcenter Copilot for quality and compliance management
2606;Deliver;Quality;FMEA;Align master and variant FMEAs to ensure consistency across product variants and reduce duplication effort
2606;Deliver;Quality;FMEA;Compare master and variant FMEAs to easily identify deviations and assess impact on quality and risk
2606;Deliver;Quality;FMEA;Highlight root cause actions to improve transparency and accelerate issue resolution
2606;Deliver;Quality;FMEA;Synchronize item and FMEA structures to maintain a consistent digital thread and avoid data misalignment
2606;Deliver;Quality;FMEA;Enhanced form sheets improve usability and streamline data entry, reducing user effort in daily quality tasks
2606;Deliver;Quality;FMEA;Modernized UX/UI provides a more intuitive and efficient user experience, increasing productivity and user adoption
2606;Deliver;Quality;Control & Inspection Planning;Enhanced characteristic management improves structure and usability, enabling more efficient handling of quality data
2606;Deliver;Quality;Control & Inspection Planning;New SPC rule strengthens statistical analysis, helping to detect deviations earlier and reduce quality risks
2606;Deliver;Quality;Control & Inspection Planning;Optimized PMI table layout improves clarity and usability, allowing faster interpretation of product and inspection data
2606;Deliver;Quality;Quality - Master data and checklist​;Extended checklist functionality increases flexibility and supports more comprehensive quality assessments
2606;Deliver;Quality;Quality - Master data and checklist​;Enhanced tree view visualization improves transparency, enabling users to quickly understand relationships and status
2606;Deliver;Quality;Quality - Master data and checklist​;Improved attachment management simplifies access to relevant documents, ensuring better traceability and audit readiness
2606;Deliver;Quality;Training & Qualification;Enhanced qualification matrix improves transparency and enables better tracking of skills across organizations
2606;Deliver;Quality;Training & Qualification;Optimized requalification processes and workflows ensure timely renewals and strengthen compliance with industry standards
2606;Deliver;Quality;Training & Qualification;Improved notification emails increase awareness and help users stay on top of required actions
2606;Deliver;Quality;Training & Qualification;Enhanced qualification records provide better traceability and support audit readiness
2606;Deliver;Quality;Audit & Assessment ;General enhancements across quality modules improve usability and ensure a more consistent audit experience
2606;Deliver;Quality;Audit & Assessment ;New spider chart visualizes strengths and weaknesses across audit areas, enabling faster insights and better decision-making
2606;Deliver;Quality;Audit & Assessment ;UX extensions provide a more intuitive and efficient user experience, increasing productivity in audit and assessment processes
2606;Deliver;Quality;Quality Action Management;Enhanced quality action information improves transparency and supports better decision-making throughout the process
2606;Deliver;Quality;Quality Action Management;Improved “save as” and “add” commands streamline action creation and reuse, reducing effort and increasing efficiency
2606;Deliver;Service;Service BOM;Add Fault code on Service BOM
2606;Deliver;Service;Service BOM;Align Spare Definition with Alternate and Substitute
2606;Deliver;Service;Service BOM;Add Usage-based parts in SE and SBOM view
2606;Deliver;Service;Service Planning;Enhanced service plan management and configuration​
2606;Deliver;Service;Product Support Data Management​;Enforce XA business rules to validate End Item Acronym Code data integrity
2606;Deliver;Service;Product Support Data Management​;Generate LSA-050, LSA-070, LSA-151, and LSA-152 reports for logistics support analysis
2606;Deliver;Service;Service Asset Management​;Manage association and disassociation events for data accuracy and integrity
2606;Deliver;Service;Teamcenter SLM for Salesforce;Leverage quotes in Salesforce powered by Teamcenter Product Configurator
2606;Deliver;Suppliers;Asset Administration Shell Collaboration;Accelerate and simplify product hierarchy export to Asset Administration Shell
2606;Deliver;Suppliers;Asset Administration Shell Collaboration;Easily onboard new Asset Administration Shell (AAS) submodels and stay updated with evolving AAS standards
2606;Deliver;Suppliers;Supplier Collaboration - Partner Connect;Collaboratively manage and update supplier data for greater accuracy
2606;Deliver;Suppliers;Supplier Connect;Simplify supplier management with fast and easy supplier onboarding
2606;Deliver;Sustainability;Environmental Compliance and Product Sustainability;Accelerate compliance checks in part and product releases
2606;Deliver;Sustainability;Environmental Compliance and Product Sustainability;Bulk apply compliance categories to parts and materials
2606;Deliver;Sustainability;Environmental Compliance and Product Sustainability;Configure compliance without leaving Teamcenter
2606;Develop;Documents;Document Management;Manage and edit Office files from Active Workspace in the browser
2606;Develop;Visualization;DMU for Part Design;View, navigate, and control visibility of the Leaf Structure within a JT file
2606;Develop;Visualization;DMU for Part Design;Use added controls to show and hide PMI (Product Manufacturing Information)
2606;Develop;Visualization;DMU for Part Design;Control the current Reference Set from within your live session​
2606;Develop;Visualization;Navigating Large Data;Define your 3D context using volume, proximity, and zone spatial filters
2606;Develop;Visualization;Visualization - Usability;View, navigate, and control visibility of the Leaf Structure within a JT file​
2606;Develop;Visualization;Visualization - Usability;Control the current Reference Set from within your live session
2606;Develop;Visualization;Visualization - Usability;Use added controls to show and hide PMI​
2606;Develop;Visualization;Visualization - Usability;Define your 3D context using volume, proximity, and zone spatial filters​
2606;Develop;Visualization;Visualization - Usability;View previously loaded MMV data even faster using rapid restore​
2606;Foundation;Deployability;Security Hardening;Automatically configure cryptographic security settings to meet federal information processing standards (FIPS 140-3)
2606;Foundation;Industry Solutions;Industries - CPR - CPG;Easily manage and reuse brand assets for packaging and ingredients
2606;Foundation;Industry Solutions;Industries - CPR - CPG;Calculate precise weight of a consumer product including packaging and ingredients
2606;Foundation;Industry Solutions;Industries - Semiconductor Lifecycle Management;Enhance semiconductor design accuracy and efficiency with improved technology design kit management
2606;Foundation;Industry Solutions;Industries - Semiconductor Lifecycle Management;Streamline post-tapeout process for better efficiency and control
2606;Foundation;Usability;Platform - Active Workspace Framework - Solution Enablement;Expand and view related data faster with an inline tree
2606;Foundation;Usability;Platform - Active Workspace Framework - Solution Enablement;Leverage assistance to delete objects and related data
2606;Foundation;Usability;Platform - Active Workspace Framework - Solution Enablement;Enhance copy and paste functionality 
2606;Foundation;Usability;Platform - Active Workspace Framework - Solution Enablement;Change owner of associated data
2606;Foundation;Usability;Platform - Active Workspace Framework - Usability;Create and personalize your home page and dashboards
2606;Foundation;Usability;Platform - Active Workspace Framework - Usability;Leverage new modern Siemens branding themes that align with Siemens visual identity
2606;Foundation;Usability;Platform - Active Workspace Framework - Usability;Manage column arrangements to improve consistency and simplify administration
2606;Foundation;Usability;Platform - Active Workspace Framework - Usability;Manage files with Teamcenter Drive on cloud or on-premises
2606;Foundation;Usability;Platform - Active Workspace Framework - Usability;Utilize new responsive page layouts for various window and device sizes
2606;Foundation;Usability;Platform - Active Workspace Framework - Usability;Choose your preferred language now including Ukrainian
2606;Plan;Bill of Materials;Design BOM Alignment;Assign different target effectivities to different parts in the same engineering change
2606;Plan;Bill of Materials;Design BOM Alignment;Author and configure an EBOM with applied modification kits
2606;Plan;Bill of Materials;Design BOM Alignment;Manage many-to-one BOM alignment use cases with guided updates based on evolving BOM
2606;Plan;Bill of Materials;Design BOM Alignment;Manage opposite-hand parts and their alignments in an EBOM
2606;Plan;Bill of Materials;Design BOM Alignment;Visualize your color BOM based on themes and visual materials
2606;Plan;Bill of Materials;Structure Management;Bulk edit BOM data using Excel
2606;Plan;Bill of Materials;Structure Management;Compute BOM properties based on configuration
2606;Plan;Bill of Materials;Structure Management;Default revision rule based on assembly type
2606;Plan;Bill of Materials;Structure Management;Default list of available revision rules
2606;Plan;Bill of Materials;Structure Management;Specify revision rule for Used in Structures​ Baselines are no longer copied to Home folder
2606;Plan;Bill of Materials;Structure Management;Load all child lines in Change Content​
2606;Plan;Bill of Materials;Structure Management;Duplicate NX assemblies in Active Workspace
2606;Plan;Bill of Materials;Smart Discovery;Find your items using occurrence notes and properties​
2606;Plan;Bill of Materials;Smart Discovery;Generate bounding boxes and true shapes from selected reference sets in JT content​
2606;Plan;Bill of Materials;Smart Discovery;Locate items in your structure using geometric zones
2606;Plan;Bill of Materials;Smart Discovery;Use Expansion Rules in your Workset​
2606;Plan;Bill of Materials;Partitions;Quickly filter content by partition in your BOM
2606;Plan;Bill of Materials;BOM AI;Use In-Context Change with Teamcenter Copilot in a BOM
2606;Plan;Bill of Materials;BOM AI;Gain insights from related properties and objects
2606;Plan;Bill of Materials;BOM AI;Learn and adapt from user feedback
2606;Plan;Bill of Materials;BOM AI;Integration with Teamcenter Knowledgebases​
2606;Plan;Bill of Materials;BOM AI;Improved interaction with Teamcenter Copilot in a BOM
2606;Plan;Configuration;Product Configuration;Hide families when all features are configured out
2606;Plan;Configuration;Product Configuration;Leverage the power of Rulestream automation with AutoCAD Electrical projects
2606;Plan;Configuration;Product Configuration;Use various mathematical function in a free form constraint
2606;Plan;Configuration;Product Configuration;Integrate with the latest releases of CAD and Teamcenter
2606;Plan;Process;Change Management;Easily revert component and vendor list changes in your bill of materials
2606;Plan;Process;Schedule Manager;Efficiently manage your tasks on the home page Kanban board
2606;Plan;Process;Workflow - AI;Easily initiate workflows with AI suggestions for relevant templates
