aw_release;category;area;topic;feature
2506;Deliver;Quality;Training & Qualification;Providing relevant training courses with course offerings
2506;Deliver;Quality;Training & Qualification;Visualize the qualifications of employees with the qualification matrix
2506;Deliver;Quality;Training & Qualification;Manage quality documents
2506;Deliver;Quality;Training & Qualification;Distribute quality documents by including them in a qualification unit and assigning to a qualification profile for distribution​
2506;Deliver;Quality;Training & Qualification;Revise quality documents and make necessary changes​
2506;Deliver;Quality;Training & Qualification;This also enables qualification documents to be updated and made available to employees via qualification profiles
2506;Deliver;Service;Product Support Data Management​;Export GEIA-STD-0007 standardized product support data
2506;Deliver;Service;Product Support Data Management​;Import GEIA-STD-0007 standardized product support data
2506;Deliver;Service;Product Support Data Management​;Generate Report LSA – 024 having maintenance plan summary to maintain operational excellence
2506;Deliver;Service;Service Asset Management​;Physical asset service logbook
2506;Deliver;Service;Service Asset Management​;Support Physical BOM operations like Assign Lot and Serial numbers under Partitions
2506;Deliver;Service;Service Events;Enable efficient relocation of assets using geographical transfer service events
2506;Deliver;Service;Service Events;Enable deletion of Uninstall Part Movement in Service Event​
2506;Deliver;Service;Service Events;Flexibility to modify Action Date for Uninstall Part Movement by direct timeline corrections
2506;Deliver;Service;Service Events;Create Association Service Event to link different physical structures together for traceability and maintenance
2506;Deliver;Service;Service Planning;Enable search with precision using Find-in structure functionality​
2506;Deliver;Service;Service Planning;Edit Service Plan in Excel using Export Round-trip
2506;Deliver;Service;Teamcenter SLM for Salesforce;Auto-publish articles created from Teamcenter Service Requirements
2506;Deliver;Service;Teamcenter SLM for Salesforce;Show Parts, Tools & Skills on respective steps in Article 
2506;Deliver;Service;Teamcenter SLM for Salesforce;Creation of Articles & Workplan Templates in the background while Asset generation
2506;Deliver;Suppliers;Supplier Collaboration - Partner Connect;Securely share product information across multiple suppliers with ability to control visibility based on business needs
2506;Deliver;Sustainability;Environmental Compliance and Product Sustainability;Ensure materials in your products are compliant with environmental regulations
2506;Deliver;Sustainability;Environmental Compliance and Product Sustainability;View comprehensive material composition and compliance information for vendor parts
2506;Develop;Documents;Document Management;Publish S1000D content with applicability management
2506;Develop;Simulation;Simulation Process Management;Integration of MADE for Functional Hazard Analysis​
2506;Develop;Simulation;Simulation Process Management;Embedded Simcenter STAR-CCM+ scene viewer in Teamcenter
2506;Develop;Visualization;Visualization - BOM Integration;Delta Update behaviors to avoid full reloads during change
2506;Develop;Visualization;Visualization - Deployability & Infrastructure;Paper certification for some GRID cards
2506;Develop;Visualization;Visualization - Usability;Clearly identify visual reporting categories as authored in Teamcenter Visualization desktop
2506;Develop;Visualization;Visualization - Usability;Highlight selected items without altering any part’s material properties​
2506;Develop;Visualization;Visualization - Usability;Common 3D functions are more accessible via the main context menu​
2506;Develop;Visualization;Visualization - Usability;Usability changes make the Move feature more intuitive 
2506;Develop;Visualization;Visualization - Usability;Clearly identify reporting categories as authored in Teamcenter Visualization desktop
2506;Develop;Visualization;Visualization - Usability;Clearly identify usable 3D markup anchor points
2506;Foundation;Deployability;Platform - Security - Authorization;Protect attributes with access rules
2506;Foundation;Industry Solutions;Industries - CPR - CPG;Formulated BOM Management - Easily work with an enhanced formula BOM with flexible user inputs​
2506;Foundation;Industry Solutions;Industries - CPR - CPG;Manufacturing Planning for Consumer Products​ - Efficiently plan manufacturing for SKUs and higher-level packaging
2506;Foundation;Industry Solutions;Industries - Semiconductor Lifecycle Management;Tapeout and Mask Management - Simplify multi-project wafer development with pre-built templates and configurations
2506;Foundation;Usability;Platform - Active Workspace Framework - Solution Enablement;Access a relation tree view when viewing search results and other pages displaying collections of data​
2506;Foundation;Usability;Platform - Active Workspace Framework - Usability;Edit objects concurrently with other users or processes without losing changes due to simultaneous saves 
2506;Foundation;Usability;Platform - Active Workspace Framework - Usability;Track property updates on all objects
2506;Foundation;Usability;Platform - Active Workspace Framework - Usability;Optimize table columns to be not editable
2506;Foundation;Usability;Platform - Active Workspace Framework - Usability;Manage table column arrangements without system downtime
2506;Foundation;Usability;Platform - Active Workspace Framework - Usability;Enhance your overview of the data with a total row count in tables
2506;Foundation;Usability;Platform - Active Workspace Framework - Usability;Better readability and consistent property display between read-only mode and edit mode​
2506;Foundation;Usability;Platform - Active Workspace Framework - Usability;Standardized command organization in Details views​
2506;Foundation;Usability;Platform - Active Workspace Framework - Usability;Improved command display for labels, separators, splits, and groups​
2506;Foundation;Usability;Platform - Active Workspace Framework - Usability;Persist dialogs across page changes for a smoother user experience
2506;Foundation;Usability;Platform - Active Workspace Framework - Usability;Better understand progress of large file uploads
2506;Plan;Bill of Materials;Design BOM Alignment;Perform guided updates on specific parts in the impacted BOM in focus mode
2506;Plan;Bill of Materials;Design BOM Alignment;Bootstrap the alignment of an imported design BOM or EBOM
2506;Plan;Bill of Materials;Design BOM Alignment;Analyze BOM coverage based on valid build combinations
2506;Plan;Bill of Materials;Cost Companion;Search for cost effective alternatives in a flat BOM
2506;Plan;Bill of Materials;Cost Companion;Mark outliers (values out of range) in table view
2506;Plan;Bill of Materials;Partitions;Compare BOM content with Partition Scheme applied
2506;Plan;Bill of Materials;Partitions;Filter in the Partition Unassigned view
2506;Plan;Bill of Materials;Smart Discovery;Filter for your results using advanced operators and wildcards
2506;Plan;Bill of Materials;Smart Discovery;Support Table Properties for Find & Filter​
2506;Plan;Bill of Materials;Smart Discovery;Support Typed Reference property filtering for AbstractOccAttrs
2506;Plan;Bill of Materials;Smart Discovery;Use Artificial Intelligence to perform Smart Discovery actions
2506;Plan;Bill of Materials;Structure Management;Edit multiple BOMs directly in the context of an engineering change
2506;Plan;Bill of Materials;Structure Management;Manage occurrence properties on substitutes​
2506;Plan;Bill of Materials;Structure Management;Review BOM changes with redlines
2506;Plan;Bill of Materials;Structure Management;Import more complete structure content from Excel including properties on relation, substitutes, and array properties
2506;Plan;Bill of Materials;Structure Management;Propagate configurator variability updates to impacted reuse solution variants
2506;Plan;Bill of Materials;Structure Management;View, author and perform rollup of weight and balance or any custom metric in user defined units
2506;Plan;Bill of Materials;Structure Management;Use product configurator within structures
2506;Plan;Configuration;Product Configuration;Compare and edit multiple variants in a grid view and export to Excel
2506;Plan;Configuration;Product Configuration;"Support the ""discontinue-process"" for configurator objects in Active Workspace"
2506;Plan;Configuration;Product Configuration;View more features with flexible layouts with variant configuration view​
2506;Plan;Configuration;Product Configuration;View and bulk validate variants​
2506;Plan;Configuration;Product Configuration;Author product lines in Active Workspace
2506;Plan;Configuration;Product Configuration;Manage product-in-product scenarios with conditional modules​
2506;Plan;Configuration;Product Configuration;Import constraints and variants into Product Configurator using Excel CSV import
2506;Plan;Configuration;Product Configuration;Simplify installation of Variant Matrix
2506;Plan;Process;Change Management;Track minor changes to bill of material components that do not affect form, fit, or function
2506;Plan;Process;Change Management;Track modifications to the bill of materials within a change context to help stakeholders understand the impact and ensure transparency​
2506;Plan;Process;Change Management;Merge various types of modifications of a released concurrent changes with the bill of material you are working on to maintain up-to-date accuracy​
2506;Plan;Process;Change Management;Stay informed about concurrent changes made by others to the bill of material you are working on
2506;Plan;Process;Change Management;Remain aware of potential updates to non-privileged data without requiring full visibility
2506;Plan;Process;Program Planning;Distribute a read-only version of programs and schedules across various business units
2506;Plan;Process;Program Planning;Share and collaborate on program project and related data across business units
2506;Plan;Process;Workflow;Improve cycle time by avoiding unnecessary re-approvals on completed workflow tasks
2506;Plan;Process;Workflow;Empower users to update workflow participants at specific task​
2506;Plan;Process;Workflow;Easily adapt to staffing changes with dynamic participant assignments in an active workflow
2506;Plan;Requirements;Requirements Management;Update the properties on relations between objects using Excel-Round trip
2506;Plan;Requirements;Requirements Management;Leverage a requirement-focused user experience that brings relevant data to you without leaving your page
2506;Plan;Systems;MBSE - System Verification and Model Management;Bring system lifecycle management to SysML® v2 with Teamcenter integration
2506;Plan;Systems;MBSE - System Verification and Model Management;Integrate Cameo system architecture with downstream domains
2506;Plan;Systems;MBSE - System Verification and Model Management;Integrate Rhapsody system architecture with downstream domains
2506;Plan;Systems;MBSE - System Verification and Model Management;Perform collaborative modeling in Systems Modeling Workbench with Teamcenter Discuss
2506;Plan;Systems;MBSE - System Verification and Parameter Management;​​Digital Thread Navigation - Graphically navigate structured and unstructured information
2506;Plan;Systems;MBSE - System Verification and Parameter Management;Parameter and Characteristics Management - View revision history and relation browser digital thread for Characteristics
2512;Deliver;Analytics;Search and Analytics - Search;Streamline admin re-indexing steps after changes to filters or the data
model;" reducing manual effort and minimizing the risk of errors""";;;
2512;Deliver;Analytics;Classification;Exchange classification data with OEMs, suppliers, and partners in
"standard TCXML format​""";;;;
2512;Deliver;Analytics;Search and Analytics - Search;Interact with Teamcenter Copilot in Korean ​
2512;Deliver;Manufacturing;MBOM Management;Paste Assembly in Context support in MBOM
2512;Deliver;Manufacturing;MBOM Management;Align Selected Lines support in MBM​
2512;Deliver;Manufacturing;MBOM Management;Automatic creation of assignment domain based on object types
2512;Deliver;Manufacturing;MBOM Management;Partition support in MBOM​
